States,Force,Reward,Terminated,Time
[[ 0.         -0.10800951  0.09798425  0.          0.          0.        ]],-40,0,False,0.0
[[-0.00794307 -0.10085294  0.09907118 -0.79441996  0.71683012  0.10718992]],-40,0,False,0.02
[[-0.03178545 -0.07924438  0.10215421 -1.59012275  1.44737466  0.19683418]],-40,0,False,0.04
[[-0.0715622  -0.04278937  0.10672988 -2.38792469  2.20302078  0.25453617]],0,0,False,0.06
"[[-1.19315247e-01  1.08038168e-03  1.12085016e-01 -2.38752030e+00
   2.18607912e+00  2.79844088e-01]]",0,0,False,0.08
[[-0.16706875  0.04473984  0.11787629 -2.38797506  2.18203856  0.29805916]],-10,0,False,0.1
[[-0.2168378   0.09045448  0.12393658 -2.5889815   2.39161568  0.30645225]],-40,0,False,0.12
[[-0.27660922  0.14644547  0.13006019 -3.38751809  3.20750811  0.30645557]],-40,0,False,0.14
[[-0.35229653  0.21867428  0.13633727 -4.1796751   4.01073585  0.32870403]],1,-10,True,0.16
