States,Force,Reward,Terminated,Time
[[ 0.          0.17148266 -0.09181064  0.          0.          0.        ]],40,0,False,0.0
[[ 0.00789651  0.16479768 -0.09339417  0.78978732 -0.6697466  -0.15678595]],40,0,False,0.02
[[ 0.03160209  0.14459407 -0.09795792  1.58115346 -1.35426293 -0.29499478]],10,0,False,0.04
[[ 0.06517887  0.11622413 -0.10465752  1.77672901 -1.48492174 -0.37298135]],-10,0,False,0.06
[[ 0.09868648  0.08900997 -0.11265562  1.57408289 -1.23706852 -0.42736125]],10,0,False,0.08
[[ 0.13214078  0.06278102 -0.12186511  1.77152308 -1.38774368 -0.49190579]],10,0,False,0.1
[[ 0.16955444  0.03342076 -0.13226239  1.97001707 -1.55033527 -0.54603494]],10,0,False,0.12
"[[ 2.10948230e-01  6.83234292e-04 -1.43633406e-01  2.16952412e+00
  -1.72557501e+00 -5.89207789e-01]]",10,0,False,0.14
[[ 0.25634139 -0.0356899  -0.15575591  2.36992678 -1.9139497  -0.62117961]],-5,0,False,0.16
[[ 0.302752   -0.07294346 -0.16845683  2.27131002 -1.81313263 -0.64827479]],5,0,False,0.18
[[ 0.34919743 -0.11029346 -0.18162084  2.37333243 -1.9237249  -0.66688628]],5,0,False,0.2
[[ 0.39768863 -0.14996597 -0.19508455  2.47585343 -2.0453353  -0.67835143]],5,0,False,0.22
[[ 0.44823329 -0.19217747 -0.20871281  2.57863022 -2.17752443 -0.68352119]],5,0,False,0.24
[[ 0.50083343 -0.23713231 -0.22239243  2.68134276 -2.31950323 -0.68376607]],5,-10,True,0.26
