States,Force,Reward,Terminated,Time
[[ 0.         -0.07266495 -0.15858069  0.          0.          0.        ]],40,0.0,False,0.0
[[ 0.00801969 -0.08069546 -0.15880606  0.80195539 -0.80364597 -0.02167589]],-10,0.0,False,0.02
[[ 0.02209311 -0.09483177 -0.15953266  0.60550488 -0.61095358 -0.05028011]],-10,0.0,False,0.04
[[ 0.0322441  -0.1051674  -0.16079272  0.40968459 -0.42332507 -0.07521295]],-10,0.0,False,0.06
[[ 0.03848352 -0.11178795 -0.16252512  0.21431728 -0.23916904 -0.09774305]],40,0.0,False,0.08
[[ 0.05079199 -0.12471838 -0.16457402  1.01644546 -1.05441248 -0.10633725]],-40,0.0,False,0.1
[[ 0.06319479 -0.13810463 -0.16689807  0.22409702 -0.28549621 -0.12535017]],40,0.0,False,0.12
[[ 0.07569755 -0.15201213 -0.16944444  1.02604634 -1.10556833 -0.12876146]],-40,0.0,False,0.14
[[ 0.0883139  -0.16658992 -0.17209295  0.23590856 -0.35385432 -0.13498559]],40,0.0,False,0.16
[[ 0.10104851 -0.18189846 -0.17479568  1.03735714 -1.17703346 -0.13511496]],-40,0.0,False,0.18
[[ 0.11391648 -0.19810895 -0.17741464  0.24983466 -0.44615196 -0.12512912]],40,0.0,False,0.2
[[ 0.12692109 -0.21527529 -0.17990817  1.05034647 -1.270127   -0.12454908]],-40,0.0,False,0.22
[[ 0.14007905 -0.23359891 -0.18211214  0.26593862 -0.56503695 -0.09342791]],10,0.0,False,0.24
[[ 0.14746051 -0.24743949 -0.18383429  0.47218255 -0.81948606 -0.07845936]],-40,0.0,False,0.26
[[ 0.14909121 -0.25700399 -0.18489696 -0.3088387  -0.138589   -0.02630984]],-10,0.0,False,0.28
[[ 0.14103483 -0.25862949 -0.18507998 -0.49678267 -0.02410318  0.00813395]],-10,0.0,False,0.3
[[ 0.1292201  -0.25797014 -0.18456944 -0.68469756  0.09007925  0.04290224]],-10,0.0,False,0.32
[[ 0.11364617 -0.25502094 -0.18336745 -0.87272611  0.20506774  0.07713542]],-10,0.0,False,0.34
[[ 0.09430934 -0.24975462 -0.18149336 -1.06101142  0.32197732  0.10996834]],-10,0.0,False,0.36
[[ 0.07120304 -0.24212152 -0.17898391 -1.24969748  0.44193626  0.14052321]],-10,0.0,False,0.38
[[ 0.0443178  -0.2320492  -0.17589358 -1.43892939  0.56609133  0.16790625]],40,0.0,False,0.4
[[ 0.02354199 -0.22896985 -0.17252876 -0.63859488 -0.25827651  0.16871455]],-40,0.0,False,0.42
[[ 0.00293716 -0.22716726 -0.16872739 -1.42193993  0.43861596  0.21158939]],-10,0.0,False,0.44
[[-0.0274005  -0.21710804 -0.16423735 -1.61192893  0.56804147  0.23692233]],-10,0.0,False,0.46
[[-0.06154459 -0.20441204 -0.15927344 -1.80260721  0.70249989  0.25881384]],40,0.0,False,0.48
[[-0.08958593 -0.19861477 -0.15407363 -1.00143734 -0.12292989  0.26137048]],-40,0.0,False,0.5
[[-0.11747881 -0.19390763 -0.14852927 -1.78797006  0.59406429  0.29300508]],-10,0.0,False,0.52
[[-0.1551555  -0.18060762 -0.14247986 -1.97982912  0.73687241  0.31133001]],40,0.0,False,0.54
[[-0.18673594 -0.17412298 -0.13621968 -1.17813185 -0.08853022  0.314882  ]],-10,0.0,False,0.56
