States,Force,Reward,Terminated,Time
[[ 0.         -0.06305615  0.15973153  0.          0.          0.        ]],-40,0,False,0.0
[[-0.00797131 -0.05571914  0.16075224 -0.79721757  0.73484724  0.10049296]],-40,0,False,0.02
[[-0.03189511 -0.03357274  0.1636278  -1.59537926  1.48304108  0.18257924]],-40,0,False,0.04
[[-0.07179578  0.00376464  0.16783122 -2.39489497  2.25535189  0.23131814]],-10,0,False,0.06
[[-0.12169669  0.05079016  0.17270524 -2.59529374  2.44994058  0.25373718]],10,0,False,0.08
[[-0.17161518  0.09783862  0.17797957 -2.39677654  2.25698651  0.27324957]],10,0,False,0.1
[[-0.21757763  0.14115929  0.18360391 -2.19973723  2.07745102  0.28811396]],40,0,False,0.12
[[-0.25364832  0.17510149  0.18952066 -1.40802395  1.32010515  0.30185384]],-10,0,False,0.14
[[-0.28385101  0.20386218  0.19557494 -1.61222231  1.55711125  0.30270572]],40,0,False,0.16
[[-0.30823169  0.22778352  0.20152841 -0.82646553  0.83819948  0.29036675]],40,0,False,0.18
[[-0.31692775  0.23747995  0.20712725 -0.0434116   0.13265417  0.26882324]],-5,0,False,0.2
[[-0.31887333  0.24169199  0.21240646 -0.1511535   0.2886351   0.25917545]],10,0,False,0.22
[[-0.32000911  0.24617414  0.21745302  0.03752751  0.15978976  0.24550705]],10,0,False,0.24
[[-0.31737362  0.24808754  0.22223162  0.22600022  0.03153886  0.23257046]],10,0,False,0.26
[[-0.3109694   0.24743075  0.22676836  0.41442759 -0.09745376  0.22151192]],-40,0,False,0.28
[[-0.31067688  0.25371294  0.23120183 -0.3850467   0.72548402  0.22194801]],40,0,False,0.3
[[-0.31057247  0.26126833  0.23545155  0.395262    0.03103783  0.20247371]],10,0,False,0.32
[[-0.30078992  0.2606403   0.23938474  0.58299964 -0.09405154  0.19120706]],-10,0,False,0.34
[[-0.29119986  0.26129142  0.24315515  0.37600709  0.15910464  0.18597776]],40,0,False,0.36
[[-0.27588106  0.25751153  0.24674353  1.1559852  -0.53794082  0.17384965]],-40,0,False,0.38
[[-0.26075405  0.25498068  0.25022276  0.35666221  0.28493466  0.1740292 ]],10,0,False,0.4
[[-0.25174064  0.2593713   0.25367841  0.54463216  0.15438551  0.1714588 ]],10,0,False,0.42
[[-0.23897011  0.2611618   0.25708211  0.73240091  0.02469075  0.16903773]],-10,-10,True,0.44
