States,Force,Reward,Terminated,Time
[[ 0.         -0.00873442  0.13915475  0.          0.          0.        ]],-40,0,False,0.0
[[-0.00799707 -0.00103564  0.13972781 -0.79975936  0.77081837  0.05602249]],-40,0,False,0.02
[[-0.03199394  0.02217009  0.14129789 -1.60003146  1.55227881  0.09755512]],1,0,False,0.04
[[-0.06380414  0.05292922  0.14357082 -1.5811431   1.52543609  0.12843907]],10,0,False,0.06
[[-0.09344767  0.08145236  0.14640732 -1.38340629  1.3285564   0.15422216]],-40,0,False,0.08
[[-0.12912826  0.11614166  0.14957216 -2.18444034  2.1418221   0.1602881 ]],40,0,False,0.1
[[-0.16487527  0.15130866  0.1528715  -1.39089403  1.37829977  0.16757846]],10,0,False,0.12
[[-0.19075355  0.17728491  0.15619913 -1.19716309  1.22126552  0.1637031 ]],10,0,False,0.14
[[-0.21277064  0.20023417  0.15936114 -1.00475783  1.07545858  0.15106642]],-40,0,False,0.16
[[-0.24086096  0.22996493  0.16239517 -1.80373879  1.89645004  0.15384017]],40,0,False,0.18
[[-0.26908896  0.26099386  0.16497057 -1.01989131  1.21160075  0.09890135]],40,-10,True,0.2
