States,Force,Reward,Terminated,Time
[[ 0.         -0.07019591  0.07824615  0.          0.          0.        ]],-40,0,False,0.0
[[-0.00796644 -0.06273718  0.07896112 -0.79673919  0.74692328  0.07018136]],-40,0,False,0.02
[[-0.03187669 -0.0402378   0.08095229 -1.59452747  1.50591707  0.12534401]],5,0,False,0.04
[[-0.06275827 -0.01135203  0.08379058 -1.49376569  1.38417125  0.15757716]],5,0,False,0.06
[[-0.09163288  0.01518924  0.08721752 -1.39383701  1.27144726  0.18414302]],5,0,False,0.08
[[-0.11851747  0.03956462  0.0911169  -1.29476622  1.16753193  0.20480781]],5,0,False,0.1
[[-0.14342923  0.06194684  0.09537063 -1.19655089  1.07206099  0.21959934]],5,0,False,0.12
[[-0.16638507  0.08250032  0.09986302 -1.09916964  0.9845783   0.22871627]],5,0,False,0.14
[[-0.18740135  0.10137987  0.10448344 -1.00258864  0.90458164  0.23245749]],5,0,False,0.16
[[-0.20649368  0.11873006  0.10912779 -0.90676655  0.83155628  0.23116987]],5,0,False,0.18
[[-0.22367677  0.13468523  0.1136991  -0.81165811  0.7649984   0.22521109]],5,0,False,0.2
[[-0.23896445  0.14936991  0.1181074  -0.71721667  0.7044303   0.21492452]],5,0,False,0.22
[[-0.25236958  0.16289941  0.12226933 -0.62339586  0.64941025  0.20062258]],5,0,False,0.24
[[-0.26390412  0.17538062  0.12610736 -0.53015073  0.599538    0.18257645]],10,0,False,0.26
[[-0.27258564  0.1859441   0.12953052 -0.33810438  0.45761322  0.15913605]],5,0,False,0.28
[[-0.27842479  0.19467769  0.13247384 -0.24587628  0.41632275  0.13477962]],5,0,False,0.3
[[-0.28242318  0.20261921  0.13490548 -0.15402124  0.37836418  0.10798845]],5,0,False,0.32
[[-0.28458789  0.20983284  0.1367778  -0.06250381  0.34349588  0.0788593 ]],-40,0,False,0.34
[[-0.29384367  0.2249524   0.13833476 -0.86281347  1.16778612  0.07777799]],40,0,False,0.36
[[-0.30326054  0.24145148  0.13924128 -0.07931329  0.48498946  0.01001497]],10,0,False,0.38
[[-0.30295793  0.25003337  0.1389592   0.10949024  0.37399331 -0.03898589]],10,0,False,0.4
[[-0.29888383  0.25643972  0.13765352  0.2978578   0.26727518 -0.09223603]],40,0,False,0.42
[[-0.28512099  0.25518987  0.13489225  1.0784651  -0.39234739 -0.1839694 ]],40,0,False,0.44
[[-0.2557363   0.24069455  0.13033973  1.86040719 -1.05963376 -0.26899312]],10,0,False,0.46
[[-0.21662424  0.21831905  0.1245246   2.05100626 -1.1796808  -0.31112683]],10,0,False,0.48
[[-0.17368737  0.19343382  0.11795199  2.24290656 -1.31075013 -0.34466434]],10,0,False,0.5
[[-0.12689869  0.16581008  0.11079803  2.43619924 -1.45366194 -0.36920484]],10,0,False,0.52
[[-0.07622968  0.13520351  0.10324539  2.63094858 -1.60914184 -0.38451708]],-10,0,False,0.54
[[-0.02564072  0.10530774  0.09549715  2.4279886  -1.3817073  -0.38953195]],1,0,False,0.56
[[ 0.02308887  0.07769782  0.08769642  2.44511424 -1.38084911 -0.38950145]],1,0,False,0.58
[[ 0.07216965  0.05001117  0.07995862  2.46310928 -1.38938587 -0.38323839]],1,0,False,0.6
[[ 0.12161911  0.02205946  0.07240848  2.48198365 -1.40736177 -0.37073659]],1,0,False,0.62
[[ 0.17145487 -0.00634664  0.06517074  2.50173899 -1.43483685 -0.35199936]],-10,0,False,0.64
[[ 0.21949467 -0.03320307  0.05838094  2.30239518 -1.25258508 -0.32550747]],-10,0,False,0.66
[[ 0.26355688 -0.05651855  0.05220797  2.10397943 -1.08060094 -0.29039796]],10,0,False,0.68
[[ 0.30765606 -0.08044444  0.04674962  2.30602049 -1.31292584 -0.25516489]],1,0,False,0.7000000000000001
[[ 0.35400401 -0.10730886  0.04206026  2.32889528 -1.37493329 -0.2128827 ]],5,0,False,0.72
[[ 0.40161413 -0.13627481  0.03823649  2.43219517 -1.52282231 -0.16905755]],5,0,False,0.74
[[ 0.45129451 -0.16826728  0.03531183  2.53589696 -1.67752679 -0.12317233]],5,0,False,0.76
[[ 0.50305152 -0.20341772  0.03331334  2.63982329 -1.83849276 -0.07674941]],5,0,False,0.78
[[ 0.55688734 -0.24184231  0.03223083  2.74373263 -2.0047439  -0.0320031 ]],-40,-10,True,0.8
