States,Force,Reward,Terminated,Time
[[ 0.         -0.05054793  0.0162659   0.          0.          0.        ]],1,0.7394009408866813,False,0.0
[[ 0.00021963 -0.05099599  0.01652536  0.02196569 -0.04484509  0.02598885]],1,0.7230566686686766,False,0.02
[[ 0.00087885 -0.05234486  0.01730897  0.04396448 -0.09015866  0.05250442]],1,0.6952185797812365,False,0.04
[[ 0.00197865 -0.05460861  0.01863258  0.06602958 -0.1364124   0.08007706]],1,0.6549669277058658,False,0.06
[[ 0.0035207  -0.05781081  0.02052268  0.08819435 -0.18408404  0.10924386]],-40,0.34589434503464606,False,0.08
[[-0.00268776 -0.0538352   0.02308595 -0.70908878  0.58202936  0.14673217]],1,0.4177548459487112,False,0.1
[[-0.01665082 -0.04264924  0.02629786 -0.68728434  0.53722546  0.17399833]],1,0.4761585858833424,False,0.12
[[-0.03018175 -0.03232115  0.03002894 -0.66587228  0.49617644  0.19872233]],1,0.5230274837414478,False,0.14
[[-0.04328817 -0.02277978  0.03423268 -0.64482872  0.45848903  0.22133411]],1,0.5599128248811015,False,0.16
[[-0.0559772  -0.01396166  0.03887097 -0.62413011  0.42379113  0.24224463]],1,0.5880506310518406,False,0.18
[[-0.06825552 -0.00581056  0.04391374 -0.60375356  0.39173151  0.26184533]],1,0.5952455665946064,False,0.2
[[-0.08012934  0.00172297  0.04933854 -0.583677    0.36197879  0.28050881]],-10,0.35138464246572654,False,0.22
[[-0.09380457  0.01088438  0.05512682 -0.7839029   0.55466511  0.29802308]],0,0.2805779015917905,False,0.24
[[-0.10948813  0.0219319   0.06124796 -0.78452268  0.55067201  0.31378139]],10,0.3931247341299935,False,0.26
[[-0.12318845  0.03093154  0.06767223 -0.58557275  0.34970784  0.32854385]],-10,0.14274799229865187,False,0.28
[[-0.1369123   0.03993637  0.07437696 -0.78685997  0.55121051  0.34172246]],10,0.24984337457357964,False,0.3
[[-0.15066667  0.04899871  0.08134388 -0.58864543  0.35544177  0.35488835]],-10,0.0,False,0.32
[[-0.16445822  0.05816759  0.08855716 -0.79055409  0.56186195  0.36626096]],10,0.09468062297485691,False,0.34
[[-0.17829411  0.06749532  0.09600089 -0.59310821  0.37134725  0.37803581]],10,0.1394802842751714,False,0.36
[[-0.18818493  0.07303325  0.10368053 -0.39601908  0.18259661  0.3901042 ]],10,0.12467836434783858,False,0.38
[[-0.19413606  0.07479943  0.11161731 -0.19910785 -0.00611836  0.40401078]],-40,0.0,False,0.4
[[-0.20613808  0.08277363  0.11979737 -1.00107682  0.80381592  0.41375988]],40,0.0,False,0.42
[[-0.218204    0.09100371  0.12825544 -0.20564162  0.01955749  0.43229716]],-40,0.0,False,0.44
[[-0.23033839  0.09951896  0.13699164 -1.00776363  0.83223224  0.44106732]],40,0.0,False,0.46
[[-0.24254918  0.10836898  0.14600681 -0.21346536  0.05319892  0.46071291]],-40,0.0,False,0.48
[[-0.25484082  0.11758348  0.15530039 -1.01564415  0.86850114  0.46835858]],40,0.0,False,0.5
[[-0.26722208  0.12721875  0.16487157 -0.22266109  0.09554316  0.4890229 ]],1,0.0,False,0.52
[[-0.27152467  0.12915345  0.174808   -0.2076088   0.09775084  0.50513086]],-40,0.0,False,0.54
[[-0.28369863  0.13928003  0.18498895 -1.00970314  0.91516355  0.51258126]],10,0.0,False,0.56
[[-0.30195181  0.15585921  0.19541764 -0.81576735  0.74367161  0.52998171]],5,0.0,False,0.58
[[-0.3173296   0.17004761  0.20616659 -0.72211754  0.67586026  0.54472247]],5,0.0,False,0.6
[[-0.33084053  0.1829193   0.21720079 -0.62907167  0.61190055  0.55860103]],5,0.0,False,0.62
[[-0.34249614  0.19454533  0.22850871 -0.5365761   0.55119692  0.57218984]],5,0.0,False,0.64
[[-0.35230689  0.204985    0.24009025 -0.44457774  0.49316814  0.58605733]],5,0.0,False,0.66
[[-0.36028221  0.2142861   0.25195663 -0.35302413  0.43724525  0.60076908]],5,-10.0,True,0.68
