States,Force,Reward,Terminated,Time
[[ 0.          0.17050725 -0.14785741  0.          0.          0.        ]],1,0,False,0.0
"[[ 1.39485669e-04  1.71233054e-01 -1.48973982e-01  1.39465929e-02
   7.26231054e-02 -1.11718568e-01]]",1,0,False,0.02
[[ 0.00055771  0.17341562 -0.15233111  0.02786948  0.14576065 -0.22417856]],1,0,False,0.04
[[ 0.00125396  0.17707015 -0.15795077  0.04174649  0.21989641 -0.33808266]],1,0,False,0.06
[[ 0.00222713  0.18222096 -0.16586824  0.05555854  0.29545213 -0.4540553 ]],1,0,False,0.08
[[ 0.00347577  0.18889991 -0.17613018  0.06929121  0.37275503 -0.57260164]],1,0,False,0.1
[[ 0.00499819  0.19714418 -0.18879181  0.08293625  0.45200478 -0.69406628]],1,0,False,0.12
[[ 0.00679263  0.2069934  -0.20391331  0.096493    0.53324202 -0.81859404]],1,0,False,0.14
[[ 0.00885738  0.21848619 -0.22155548  0.10996938  0.61632177 -0.94609775]],1,0,False,0.16
[[ 0.01119098  0.23165628 -0.24177486  0.12338238  0.70089655 -1.07623914]],1,-10,True,0.18
