States,Force,Reward,Terminated,Time
[[ 0.          0.12590719 -0.05403844  0.          0.          0.        ]],40,0.0,False,0.0
[[ 0.00792967  0.11877819 -0.05504459  0.79309242 -0.71406151 -0.09919863]],40,0.0,False,0.02
[[ 0.03173332  0.09725377 -0.05789582  1.58761384 -1.44168837 -0.18191938]],40,0.0,False,0.04
[[ 0.07145049  0.06094464 -0.06212221  2.38454056 -2.19402564 -0.23503559]],-40,0.0,False,0.06
[[ 0.11113389  0.02524361 -0.06700123  1.58379023 -1.37597491 -0.25498205]],5,0.0,False,0.08
[[ 0.14380469 -0.00310805 -0.07236584  1.68343862 -1.46095433 -0.28010216]],-40,0.09021487643773674,False,0.1
[[ 0.16947762 -0.02424614 -0.07818608  0.88400729 -0.65368417 -0.30202628]],40,0.0,False,0.12
[[ 0.19516683 -0.04530715 -0.08438132  1.68495747 -1.45380311 -0.31599171]],-40,0.0,False,0.14
[[ 0.22088848 -0.06645501 -0.09083705  0.88745425 -0.66234468 -0.32904237]],40,0.0,False,0.16
[[ 0.24665457 -0.0878147  -0.09746797  1.68909953 -1.47446561 -0.33320771]],-40,0.0,False,0.18
[[ 0.27248296 -0.10956867 -0.10414718  0.89408405 -0.70287624 -0.33349302]],10,0.0,False,0.2
[[ 0.29240085 -0.12588637 -0.11079099  1.09774526 -0.92963077 -0.33042035]],-40,0.0,False,0.22
[[ 0.30643065 -0.13692868 -0.11729679  0.30545018 -0.1756573  -0.319572  ]],40,0.0,False,0.24
[[ 0.32056101 -0.14867319 -0.1236575   1.10747758 -0.99880326 -0.31657863]],-40,0.0,False,0.26
[[ 0.33480336 -0.16122238 -0.1298175   0.31702651 -0.25750239 -0.29850389]],40,0.0,False,0.28
[[ 0.34916185 -0.1746208  -0.135752    1.11866183 -1.08218527 -0.29520226]],-40,0.0,False,0.3
[[ 0.3636496  -0.18899628 -0.14138212  0.33045258 -0.35719629 -0.2664178 ]],40,0.0,False,0.32
[[ 0.37826993 -0.20439306 -0.14668148  1.13134679 -1.18205626 -0.26409567]],-40,0.0,False,0.34
[[ 0.39303779 -0.22097082 -0.15154154  0.34586528 -0.47815447 -0.21984674]],-40,0.0,False,0.36
[[ 0.39211468 -0.22357326 -0.15543322 -0.43810353  0.21769103 -0.1693455 ]],-40,0.0,False,0.38
[[ 0.37550912 -0.21222619 -0.1583598  -1.22274844  0.91905228 -0.12545431]],40,0.0,False,0.4
[[ 0.35906145 -0.20209311 -0.16085217 -0.42185602  0.09399325 -0.12348276]],10,0.0,False,0.42
[[ 0.35268466 -0.20268554 -0.16320082 -0.21582246 -0.15320412 -0.11147607]],-40,0.0,False,0.44
[[ 0.34050857 -0.19857979 -0.16516092 -1.00188963  0.5645199  -0.08533759]],40,0.0,False,0.46
[[ 0.32848391 -0.19554144 -0.16684723 -0.20053137 -0.26072299 -0.08327166]],-40,0.0,False,0.48
