Episode,Score_Mean,Time_Mean,Score_Median,Time_Median,Score_std,Time_std
10,-8.220435366723507,0.322,-9.649223804631037,0.32,0.11079711187571632,0.11079711187571632
20,-9.138756434829919,0.318,-9.442021598790536,0.27,0.1381158933649564,0.1381158933649564
30,-5.4534594370716105,0.386,-8.382338175463683,0.24,0.28327371921870903,0.28327371921870903
40,-6.470373479911586,0.466,-8.500501755063254,0.44,0.11137324633860682,0.11137324633860682
50,-4.301034721097459,0.376,-4.580650242764605,0.39,0.14221111067704945,0.14221111067704945
60,-8.600325145412343,0.378,-8.667573765865301,0.35,0.10097524449091472,0.10097524449091472
70,-7.049845253336807,0.30400000000000005,-8.004641781784231,0.27,0.092,0.092
80,-8.713304920197887,0.322,-9.101353572030309,0.32,0.079724525711979,0.079724525711979
90,-7.8282381024510475,0.28600000000000003,-8.451841032571512,0.28,0.08296987405076615,0.08296987405076615
100,-8.084862222027567,0.29799999999999993,-8.910763361694478,0.29000000000000004,0.09008884503644167,0.09008884503644167
110,-8.1946911681628,0.406,-8.954727596583966,0.42,0.12459534501738016,0.12459534501738016
120,-6.213603894902745,0.594,-8.008195903847438,0.6799999999999999,0.212235718011837,0.212235718011837
130,-7.35569792450664,0.376,-7.523080394032607,0.38,0.1148216007552586,0.1148216007552586
140,-8.917421586756841,0.286,-9.172855394099628,0.27,0.09425497334358543,0.09425497334358543
150,-7.626427552206186,0.396,-8.301159358001012,0.4,0.10537551897855592,0.10537551897855592
160,-5.722629125604452,0.592,-7.611542421686563,0.6000000000000001,0.23085926448812924,0.23085926448812924
170,-8.503631887261108,0.366,-9.90844329653384,0.34,0.20120636172845033,0.20120636172845033
180,-8.20449810242419,0.41,-9.851989997422878,0.33,0.19763602910400724,0.19763602910400724
190,-7.991425295869829,0.4640000000000001,-8.842618197535622,0.48,0.16316862443496913,0.16316862443496913
200,-8.629957964464907,0.5579999999999999,-9.370238408996398,0.52,0.3778306498948967,0.3778306498948967
210,-8.239177751042533,0.368,-9.13554058533581,0.37,0.1499866660740214,0.1499866660740214
220,-8.390449466470804,0.48600000000000004,-9.658699461468919,0.44000000000000006,0.23749526311065658,0.23749526311065658
230,-9.008459531838447,0.574,-9.923815203526686,0.5,0.3131836521914897,0.3131836521914897
240,5.786795453065245,1.4620000000000002,-8.065013754182809,0.88,1.3739126609795835,1.3739126609795835
250,14.656414795385029,1.502,-9.988732980480883,0.7,1.8443958360395418,1.8443958360395418
260,11.842597568296263,1.3900000000000001,-9.912868292919569,0.7,1.403374504542533,1.403374504542533
270,7.645440375455865,1.08,-8.925415698059027,0.81,1.2228491321499968,1.2228491321499968
280,-7.264743798628688,0.6639999999999999,-9.944308672882794,0.5,0.3922040285361689,0.3922040285361689
290,-2.384353571274457,0.9099999999999999,-9.110365320229315,0.6799999999999999,0.6781297810891364,0.6781297810891364
300,2.8107190853392505,1.2719999999999998,-8.785396275325068,0.42000000000000004,1.5568224047719765,1.5568224047719765
310,-7.318285417643193,0.316,-9.661576462602683,0.23,0.2770992601938879,0.2770992601938879
320,72.01529517567033,6.444,106.34354751669181,9.98,4.34453035436513,4.34453035436513
330,77.26503138763535,3.182,-3.8125920124257604,0.8200000000000001,3.9177896829717644,3.9177896829717644
340,-4.906658636082991,0.8959999999999999,-7.891339494544778,0.74,0.6033108651433355,0.6033108651433355
350,43.76928092723503,2.59,-4.2945207379643175,0.99,3.2994332846717787,3.2994332846717787
360,4.321073906682303,1.59,-5.191840794349187,0.5,1.6527371236830133,1.6527371236830133
370,275.8635978448836,7.134,385.58850216575365,9.98,4.355227204176609,4.355227204176609
380,130.59792878208873,4.5120000000000005,0.9431376771056312,1.33,4.480519612723507,4.480519612723507
390,126.44994651260598,5.258000000000001,98.97207248131909,5.640000000000001,4.7316927203697405,4.7316927203697405
400,18.333816832260045,2.728,-5.840180406345744,1.37,3.120028205000718,3.120028205000718
410,-9.36003433029725,0.59,-9.242226329593363,0.49,0.4205948168962618,0.4205948168962618
420,3.8388362245838046,1.4400000000000002,-4.2137874619117275,1.27,1.2812181703363408,1.2812181703363408
430,20.66968823305178,2.6760000000000006,10.50181672621865,2.79,1.9846974580524859,1.9846974580524859
440,34.14755445714662,2.49,-8.713597787779577,0.5800000000000001,3.773033262509092,3.773033262509092
450,-2.268291863759542,0.9200000000000002,-8.983279811176839,0.38,1.1060560564456035,1.1060560564456035
460,13.866891820931363,1.5100000000000002,-9.907783506565355,0.35,2.872061977047153,2.872061977047153
470,-1.080886948130307,0.9339999999999999,-9.988439108683963,0.35,1.0665852052227238,1.0665852052227238
480,124.68651034251783,5.702000000000001,35.83066463782377,3.81,3.550745837144641,3.550745837144641
490,131.8049994077657,5.518,85.6850841942537,4.74,2.8018772278599218,2.8018772278599218
500,-2.427430421971013,0.8640000000000001,-7.366614621879231,0.35,0.7892680153154567,0.7892680153154567
510,-0.19160533497079618,0.938,-5.128927574678719,0.55,0.8112434899584711,0.8112434899584711
520,202.2583045215563,7.034000000000002,258.7205012226639,9.98,4.50009822115029,4.50009822115029
530,194.76967940030823,8.014000000000001,237.0293858799327,9.98,3.932002543234172,3.932002543234172
540,14.93045475665079,6.358000000000001,23.96995060486926,9.47,4.325805820884706,4.325805820884706
550,-4.619399707203591,1.068,-9.28747369838061,0.94,0.5205535515199181,0.5205535515199181
560,229.31362417776177,6.312,325.29333946892905,9.98,4.5108331824619725,4.5108331824619725
570,-7.016653452615856,1.3320000000000003,-8.61824893637263,1.7000000000000002,0.7701532315065619,0.7701532315065619
580,-4.959119496515475,1.336,-7.771951053977819,1.28,0.6558536422099065,0.6558536422099065
590,310.06542895297576,8.266000000000002,384.5241827860977,9.98,3.4704472334268393,3.4704472334268393
600,181.9051436068117,8.024000000000001,215.7957213368167,9.98,3.912,3.912
610,134.1071653028162,5.508000000000001,104.0466302529517,6.08,4.498623789560537,4.498623789560537
620,69.80554366130511,3.345999999999999,-7.743556464237292,0.65,4.3465945290537515,4.3465945290537515
630,24.63518544805489,2.974,31.119067144166717,2.89,1.510630332013759,1.510630332013759
640,76.8109349690054,8.014,92.03942882125102,9.98,3.9320025432341725,3.9320025432341725
650,36.64169409513213,2.598,6.948747314917692,2.17,2.1300413141533197,2.1300413141533197
660,28.937511185321522,1.984,-9.629602737390476,1.31,2.7582284169372198,2.7582284169372198
670,161.63792830004533,5.542,135.91634439612596,5.94,4.4616270574757815,4.4616270574757815
680,41.8692027996921,2.68,24.748604424907146,2.46,2.674531734715444,2.674531734715444
690,69.49955645576561,5.85,61.78212783932269,6.390000000000001,3.5047539143283655,3.5047539143283655
700,233.51638727806647,7.054,322.9948904338152,9.98,4.469756592925391,4.469756592925391
710,113.1184869634433,6.85,161.14085564918992,9.98,3.9663509678292463,3.9663509678292463
720,194.96732136826645,5.822000000000001,219.01082287323447,6.880000000000001,4.238494544056888,4.238494544056888
730,93.19841071787658,8.052000000000001,115.22248412097046,9.98,3.856840157434581,3.856840157434581
740,278.1492377886113,7.040000000000001,391.62342035838526,9.98,4.490933087900554,4.490933087900554
750,44.16874696452089,3.378,-8.06341132982195,0.89,4.335301142942667,4.335301142942667
760,42.42151499191864,3.3180000000000005,11.117953235882698,2.2,3.505246924255123,3.505246924255123
770,-6.630453452152475,0.982,-6.496022631660077,0.93,0.5065530574382114,0.5065530574382114
780,7.98728509325044,2.636,-8.844346472169612,0.74,3.5263669689923085,3.5263669689923085
790,196.7231111904606,8.065999999999999,241.79337890687185,9.98,3.828754888994593,3.828754888994593
800,234.93455628722592,6.0760000000000005,366.09212438711575,9.98,4.78146253775976,4.78146253775976
810,-9.420478381140766,0.37,-9.709188743641837,0.41000000000000003,0.12529964086141668,0.12529964086141668
820,-7.209710561281876,0.6500000000000001,-8.223102502949647,0.53,0.3119294792096444,0.3119294792096444
830,-8.625092417075745,1.01,-8.861468639397174,0.96,0.5223217399266471,0.5223217399266471
840,207.29595877912917,7.336000000000001,291.64029380602915,9.98,4.055108383261785,4.055108383261785
850,6.0160744631148155,1.3859999999999997,-1.6922538597078631,1.3399999999999999,0.7610545315547368,0.7610545315547368
860,154.86674003278486,9.000000000000002,160.79101000396537,9.98,2.9400000000000004,2.9400000000000004
870,172.85874688756476,7.859999999999999,171.2394691217234,8.280000000000001,2.618472837361503,2.618472837361503
880,288.82311109896347,8.998000000000001,304.2925113138112,9.98,2.9460000000000006,2.9460000000000006
890,223.2981851443588,8.024000000000001,273.5154591985872,9.98,3.912,3.912
900,76.64773467725135,5.380000000000001,69.02012569594027,5.2,3.194507786811608,3.194507786811608
910,14.575104980397096,3.1,12.973230826236422,3.6,1.3398507379555382,1.3398507379555382
920,160.34243044652007,6.076,241.3569084422159,9.98,4.78171350040966,4.78171350040966
930,218.48211780368865,9.002,238.27334905728875,9.98,2.9340000000000006,2.9340000000000006
940,203.4452651975681,7.044000000000001,286.57373843689857,9.98,4.484941917126687,4.484941917126687
