Episode,Q-1,Q-2,Q-3,Q-4,Q-5,Q-6,Q-7,Q-8,Q-9
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.013917091488838195,-0.03762774467468262,0.04399844706058502,0.0620123028755188,-0.07938824892044068,-0.03675519824028015,-0.06103793978691101,0.0863260269165039,0.09419162273406982
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.019859811663627623,-0.023817123472690584,0.011497072130441665,0.015124358236789703,-0.015537814795970916,0.0022964727599173785,-0.017608530074357986,0.03392713516950607,0.02467498853802681
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.03876388743519783,0.028985395655035974,0.09154306203126908,0.06017949506640434,-0.10529898554086685,-0.08046830017119647,-0.10359353795647622,0.14725786224007606,0.1067536094225943
7,0.04602948171289071,0.024429119637478954,0.030767091752394386,-0.04427249786322531,-0.020510954053505608,-0.005333248606842497,-0.05965174766986266,0.059077931163103684,0.03472334150548862
8,0.05003960132598877,0.10449925661087037,0.035050392150878906,-0.11655796766281128,-0.04107223451137543,-0.03176300823688507,-0.09818854331970214,0.07777008414268494,0.05725578665733337
9,0.08438871966467963,-0.030463394191530015,0.08689045243793064,-0.16014142831166586,-0.0032453901237911647,0.03749133149782816,-0.1667826837963528,0.08420030275980632,0.09181871679094103
10,0.12182281109002921,0.30768131292783296,0.1703451413374681,-0.3732556929955116,-0.1845565942617563,-0.182619388286884,-0.2798539125002347,0.17528074521284837,0.21989959019881028
11,0.01629645066956679,-0.11196365548918645,0.0849191111822923,0.043055724973479904,0.03215336178739866,0.020880104663471382,0.004300187652309735,0.013500866169730822,0.03046965824129681
12,0.11620470285415649,-0.21310154795646669,0.24827961921691893,0.03822885304689407,0.003173194080591202,0.017774455063045026,0.010280385985970497,0.05257434397935867,-0.0337251465767622
13,0.02970460057258606,-0.06283228596051534,0.05552651087443034,-0.037047815322875974,0.0017483743528525035,0.0058672547340393065,-0.017775254448254903,0.02104229728380839,0.006311258797844251
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.13153528648874033,-0.2395880410204763,0.23707738000413645,0.05574714943118717,0.09544940908317981,0.10598489933687708,0.052010297775268555,-0.008141325786709785,-0.04027161326097405
16,0.4271516799926758,0.5538966485432216,0.6295478684561593,-0.8830124310084752,-0.31844307695116314,-0.5853248323713031,-0.5207441023417881,0.17752330218042647,0.7117364917482648
17,0.25203195214271545,-0.3377352118492126,0.4705832123756409,0.16401143968105317,0.09180670082569123,0.10741340219974518,0.13705350756645202,0.025410372018814086,-0.13651745319366454
18,0.21880872547626495,-0.12801408022642136,0.31472234427928925,-0.02270425111055374,0.01557191088795662,0.06307192891836166,-0.07201257161796093,0.0767202228307724,-0.0072371698915958405
19,0.1540785567326979,0.1305342519825155,0.3277743404561823,-0.17982450838793407,-0.11795824698426506,-0.18546881289644676,-0.11381199007684534,0.07969821854071184,0.11554379761219025
20,0.06337290207544963,-0.07650955518086751,0.13979978561401368,-0.0024088124434153237,-0.0005817425747712454,0.018511184056599937,0.013582120339075724,0.012545299530029298,-0.0496465802192688
21,0.24054886698722838,0.12705889761447905,0.3210146450996399,-0.2709986183047295,-0.015606674700975418,-0.05570923268795013,-0.10859033539891243,0.014373673647642136,0.06706887811422348
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.0809172630310058,0.05459378510713577,1.3104191978772481,0.881856103738149,-0.03396594723065694,0.12809572344024975,0.34983100891113283,0.71039895961682,0.16292739311854046
24,0.6478450573407687,-0.12199749511021835,0.6352263964139498,-0.07538217535385719,0.18844865377132708,0.19380391561068022,-0.01570332508820754,0.0955067643752465,-0.14983363793446466
25,2.25748724937439,0.6201729875057935,2.067069357633591,1.4061458893120289,0.23508054614067078,0.353828714042902,0.45983201563358306,1.1583776868879796,0.4272075042128563
26,1.178320094158775,0.4128837993270473,1.206242511146947,0.8815992913748089,0.18956417002175985,0.307858873746897,0.27900652352132294,0.7289679238670751,0.35507706905666153
