States,Force,Reward,Terminated,Time
[[ 0.          0.170754   -0.09242785  0.          0.          0.        ]],1,0,False,0.0
"[[ 1.37689749e-04  1.71412576e-01 -9.33821545e-02  1.37668127e-02
   6.59060781e-02 -9.54982556e-02]]",1,0,False,0.02
[[ 0.0005505   0.17339413 -0.09625315  0.0275079   0.13239468 -0.19180142]],1,0,False,0.04
[[ 0.00123767  0.176716   -0.10106478  0.04119875  0.20002747 -0.28968786]],1,0,False,0.06
[[ 0.00219797  0.18140633 -0.10785606  0.05481734  0.26932313 -0.38988115]],1,0,False,0.08
[[ 0.00342976  0.18750304 -0.11667968  0.06834545  0.34073256 -0.49301848]],1,0,False,0.1
[[ 0.0049311   0.19505213 -0.1275999   0.08177018  0.41461114 -0.5996151 ]],1,0,False,0.12
[[ 0.00669983  0.20410551 -0.14068975  0.09508542  0.49118833 -0.71002557]],40,0,False,0.14
[[ 0.016475    0.20760334 -0.15702048  0.88239789 -0.140634   -0.924925  ]],40,0,False,0.16
[[ 0.04199986  0.19845849 -0.17769402  1.67032245 -0.77570169 -1.14088185]],1,0,False,0.18
[[ 0.07554847  0.18364777 -0.20162478  1.68461606 -0.70599335 -1.25252287]],40,0,False,0.2
[[ 0.11714808  0.16294351 -0.22865654  2.47576171 -1.36861214 -1.44580514]],40,0,False,0.22
[[ 0.17459876  0.12868628 -0.25918556  3.26985873 -2.06373516 -1.59834955]],-40,-10,True,0.24
