States,Force,Reward,Terminated,Time
[[ 0.         -0.13871387  0.06905535  0.          0.          0.        ]],-40,0.0,False,0.0
[[-0.00792071 -0.13171794  0.07024266 -0.79219982  0.70079101  0.11724597]],-40,0.0,False,0.02
[[-0.03169793 -0.11058797  0.07362857 -1.58587604  1.41565462  0.21708688]],-40,0.0,False,0.04
[[-0.07137291 -0.07491657  0.07871075 -2.38209425  2.15663227  0.28484697]],-40,0.0,False,0.06
[[-0.12699964 -0.02410074  0.08475551 -3.18094515  2.93055844  0.31305098]],40,0.0,False,0.08
[[-0.18261871  0.02645988  0.09109844 -2.38108173  2.1260394   0.32373303]],0,0.0,False,0.1
[[-0.2302488   0.06901465  0.09768272 -2.38207398  2.13159334  0.33343972]],40,0.0,False,0.12
[[-0.26992153  0.10383294  0.10441669 -1.58566714  1.35298663  0.33844986]],-5,0.0,False,0.14
[[-0.30266716  0.13214865  0.11116764 -1.68898547  1.48002031  0.33566567]],0,0.0,False,0.16
[[-0.33648874  0.16211032  0.11779623 -1.69330033  1.51778845  0.32608703]],40,0.0,False,0.18
[[-0.36245459  0.18516458  0.12401773 -0.90379921  0.79068942  0.29349832]],0,0.0,False,0.2
[[-0.38059751  0.20152894  0.12965957 -0.91056935  0.84662468  0.2701192 ]],0,0.0,False,0.22
[[-0.39888043  0.219066    0.13479855 -0.91779915  0.90802416  0.24314972]],40,0.0,False,0.24
[[-0.40939306  0.23032195  0.13904404 -0.13376463  0.21929739  0.1798994 ]],0,0.0,False,0.26
[[-0.41215383  0.23541134  0.14230141 -0.14233539  0.28986699  0.14575439]],5,0.0,False,0.28
[[-0.41409847  0.24098781  0.14482507 -0.0521696   0.2681288   0.10638814]],5,0.0,False,0.3
[[-0.41424217  0.24615026  0.14654754  0.0377628   0.24845821  0.0656119 ]],40,0.0,False,0.32
[[-0.40567096  0.24439286  0.14710865  0.81940652 -0.42455191 -0.00910386]],0,0.0,False,0.34
[[-0.38937068  0.23662946  0.14657951  0.81065293 -0.35225325 -0.04342589]],5,0.0,False,0.36
[[-0.37225398  0.22934255  0.14534606  0.90106895 -0.37695789 -0.07948978]],5,0.0,False,0.38
[[-0.35332574  0.22152996  0.14341687  0.99181208 -0.40484117 -0.11300903]],5,0.0,False,0.4
[[-0.33257913  0.21312686  0.14084242  1.08291054 -0.43603285 -0.14401742]],5,0.0,False,0.42
[[-0.31000675  0.20406549  0.13767297  1.17439487 -0.47069958 -0.17250436]],5,0.0,False,0.44
[[-0.28560055  0.19427435  0.13395942  1.26629806 -0.50904615 -0.19841398]],5,0.0,False,0.46
[[-0.2593518   0.18367749  0.12975426  1.35865561 -0.55131681 -0.22164426]],5,0.0,False,0.48
[[-0.23125104  0.17219363  0.12511249  1.45150555 -0.5977965  -0.24204635]],5,0.0,False,0.5
[[-0.20128802  0.1597354   0.12009255  1.54488835 -0.64881166 -0.25942446]],5,0.0,False,0.52
[[-0.16945167  0.14620848  0.11475727  1.63884676 -0.70473065 -0.27353664]],0,0.0,False,0.54
[[-0.13672638  0.13249404  0.10918167  1.63375813 -0.66747235 -0.2835409 ]],0,0.0,False,0.56
[[-0.10409835  0.11948021  0.10343403  1.62911893 -0.6346231  -0.29078345]],0,0.0,False,0.58
[[-0.0715587   0.10708144  0.09756707  1.62491844 -0.60592733 -0.2955128 ]],0,0.0,False,0.6
[[-0.03909876  0.09521694  0.09162883  1.62114594 -0.58116105 -0.2979436 ]],0,0.0,False,0.62
[[-0.00671008  0.0838101   0.08566344  1.61779125 -0.56013263 -0.29825519]],0,0.03502349266102578,False,0.64
[[ 0.02561561  0.0727878   0.07971178  1.61484514 -0.54268294 -0.29659106]],0,0.11553914876481447,False,0.66
[[ 0.0578864   0.06207978  0.07381224  1.61229957 -0.52868529 -0.29305877]],0,0.19192810304448377,False,0.68
[[ 0.09011022  0.05161801  0.0680014   1.61014799 -0.51804524 -0.28772999]],0,0.26450904892434357,False,0.7000000000000001
[[ 0.12229491  0.04133601  0.06231477  1.6083854  -0.51070041 -0.28064076]],0,0.33349904070099423,False,0.72
[[ 0.15444821  0.03116823  0.05678749  1.60700853 -0.50662036 -0.27179155]],0,0.3990150519427017,False,0.74
[[ 0.18657781  0.02104943  0.05145507  1.60601592 -0.50580658 -0.26114727]],0,0.46107040944365224,False,0.76
[[ 0.21869141  0.01091398  0.04635404  1.60540794 -0.50829273 -0.24863707]],0,0.5195659677534261,False,0.78
