States,Force,Reward,Terminated,Time
[[ 0.         -0.03165602  0.16473793  0.          0.          0.        ]],40,0,False,0.0
[[ 0.00801063 -0.04003748  0.16537105  0.80108269 -0.83794656  0.06240915]],-10,0,False,0.02
[[ 0.02204902 -0.05528212  0.16739268  0.60285922 -0.6878179   0.14119722]],-10,0,False,0.04
[[ 0.03212879 -0.06759817  0.1710735   0.40520357 -0.54488486  0.22816866]],40,0,False,0.06
[[ 0.04824957 -0.08690435  0.17619782  1.20682375 -1.38461437  0.28124769]],-5,0,False,0.08
[[ 0.07141572 -0.11421966  0.1826607   1.10993368 -1.34872574  0.36677248]],-10,0,False,0.1
[[ 0.09165553 -0.13997044  0.19101315  0.91421455 -1.22845922  0.47087963]],40,0,False,0.12
[[ 0.1179467  -0.17281617  0.20058887  1.71454026 -2.05227501  0.47852187]],10,0,False,0.14
[[ 0.15425738 -0.21639061  0.21056797  1.91640594 -2.30464441  0.51632762]],10,-10,True,0.16
