States,Force,Reward,Terminated,Time
[[ 0.          0.16298589 -0.06446669  0.          0.          0.        ]],1,0.11514238587394657,False,0.0
"[[ 1.39489685e-04  1.63576556e-01 -6.53079488e-02  1.39467372e-02
   5.91156983e-02 -8.41934749e-02]]",1,0.06651948840509574,False,0.02
[[ 0.00055769  0.16535445 -0.06783979  0.02786686  0.11882069 -0.16919146]],1,0.0,False,0.04
[[ 0.00125381  0.16833716 -0.07208623  0.04173464  0.17969056 -0.25578109]],1,0.0,False,0.06
[[ 0.00222657  0.1725535  -0.07808667  0.05552617  0.24227203 -0.34471285]],1,0.0,False,0.08
[[ 0.00347421  0.1780428  -0.08589498  0.06922047  0.30706522 -0.43667788]],1,0.0,False,0.1
[[ 0.00499463  0.18485375 -0.09557806  0.08280064  0.37450195 -0.53228027]],1,0.0,False,0.12
[[ 0.0067854   0.19304278 -0.1072137   0.0962553   0.44492014 -0.63200406]],40,0.0,False,0.14
[[ 0.01659015  0.19547024 -0.1217295   0.88419992 -0.20148838 -0.82117303]],1,0.0,False,0.16
[[ 0.03440834  0.19217547 -0.13923062  0.89765263 -0.12804497 -0.9294502 ]],40,0.0,False,0.18
[[ 0.06024894  0.18313292 -0.15977983  1.686629   -0.77787046 -1.1241412 ]],40,0.0,False,0.2
[[ 0.10188713  0.16094268 -0.18407237  2.47763637 -1.44536727 -1.30022531]],5,0.0,False,0.22
[[ 0.15239941  0.13174875 -0.21098214  2.57374502 -1.47562864 -1.39008362]],5,0.0,False,0.24
[[ 0.20484299  0.10185261 -0.23964797  2.67076315 -1.51563311 -1.47577656]],5,-10.0,True,0.26
