States,Force,Reward,Terminated,Time
[[ 0.         -0.13198932  0.12528801  0.          0.          0.        ]],-40,0,False,0.0
[[-0.00792735 -0.12506854  0.12669999 -0.79285502  0.69331279  0.13958433]],-40,0,False,0.02
[[-0.03172347 -0.1041595   0.13074403 -1.58708845  1.40117044  0.26012852]],-40,0,False,0.04
[[-0.07142685 -0.06883791  0.13686383 -2.38368653  2.13646213  0.34465704]],-40,0,False,0.06
[[-0.12708743 -0.01845942  0.14421292 -3.18270182  2.90769389  0.38199018]],40,0,False,0.08
[[-0.18274213  0.03162261  0.15200318 -2.3829175   2.10006936  0.40160178]],1,0,False,0.1
[[-0.23021018  0.07341006  0.16026676 -2.36404047  2.08073421  0.42365465]],10,0,False,0.12
[[-0.27551343  0.11312937  0.16893477 -2.16652743  1.89326181  0.44230677]],1,0,False,0.14
[[-0.31867477  0.15101714  0.17789421 -2.14975804  1.89749056  0.45244809]],10,0,False,0.16
[[-0.3597205   0.18733611  0.18699706 -1.95510011  1.73672647  0.45647839]],1,0,False,0.18
[[-0.39867477  0.22232515  0.19610313 -1.94045657  1.76399445  0.45300571]],40,0,False,0.2
[[-0.42963296  0.25052804  0.20494379 -1.15612334  1.06021269  0.42821251]],40,-10,True,0.22
