States,Force,Reward,Terminated,Time
[[ 0.          0.15783018 -0.1701554   0.          0.          0.        ]],40,0,False,0.0
[[ 0.00791066  0.15119351 -0.17199494  0.7911891  -0.66494052 -0.18224844]],40,0,False,0.02
[[ 0.03165716  0.13113142 -0.17730948  1.58380803 -1.34502127 -0.34414453]],40,0,False,0.04
[[ 0.07128011  0.09719674 -0.18549484  2.37897239 -2.05440517 -0.46624999]],40,0,False,0.06
[[ 0.12683572  0.04868247 -0.1955837   3.17703769 -2.8044989  -0.53224742]],40,0,False,0.08
[[ 0.198374   -0.01529033 -0.20635398  3.97687589 -3.60022291 -0.53424111]],40,0,False,0.1
[[ 0.28589874 -0.09557811 -0.21659318  4.77478368 -4.43288921 -0.48338462]],40,0,False,0.12
[[ 0.38930374 -0.19264181 -0.22563361  5.56331301 -5.26984864 -0.42581696]],40,-10,True,0.14
