States,Force,Reward,Terminated,Time
[[0.         0.08905669 0.14852953 0.         0.         0.        ]],-40,0.0,False,0.0
[[-0.00802172  0.09715288  0.14866957 -0.80214354  0.81008931  0.01333113]],-5,0.0,False,0.02
[[-0.02509941  0.11450713  0.14909258 -0.90570097  0.92646159  0.02793276]],10,0.0,False,0.04
[[-0.04126219  0.13127634  0.14976841 -0.71072631  0.75172696  0.03863063]],10,0.0,False,0.06
[[-0.05353394  0.14462251  0.15060012 -0.51657208  0.58393383  0.04368386]],10,0.0,False,0.08
[[-0.06192948  0.15467059  0.15148526 -0.32307832  0.42167337  0.04416649]],10,0.0,False,0.1
[[-0.06646033  0.16151639  0.15234449 -0.13007303  0.26345232  0.0413081 ]],10,0.0,False,0.12
[[-0.06713447  0.16522537  0.15312407  0.06262241  0.10773321  0.03642525]],10,0.0,False,0.14
[[-0.06395628  0.16583201  0.15379707  0.25519003 -0.04704243  0.0308783 ]],-1,0.0,False,0.16
[[-0.05911485  0.16549537  0.15437067  0.2289554   0.01333837  0.02653858]],-1,0.0,False,0.18
[[-0.05479812  0.1663656   0.15485929  0.20271233  0.07372752  0.0222998 ]],10,0.0,False,0.2
[[-0.04881861  0.16629303  0.15525301  0.39523945 -0.08100479  0.01710716]],-1,0.0,False,0.22
[[-0.04117625  0.16527552  0.15555547  0.36900172 -0.02082513  0.01322178]],-1,0.0,False,0.24
[[-0.03405846  0.16545856  0.15578359  0.3427769   0.03913484  0.00959265]],-1,0.0,False,0.26
[[-0.02746534  0.1668428   0.1559377   0.31652767  0.09937747  0.00574266]],10,0.0,False,0.28
[[-0.01920983  0.16728429  0.15600171  0.50901868 -0.05519296  0.00062852]],-1,0.0,False,0.3
[[-0.00929231  0.16678662  0.15597262  0.48273569  0.0053936  -0.0035083 ]],-1,0.0,False,0.32
"[[ 9.95735455e-05  1.67500413e-01  1.55860930e-01  4.56449374e-01
   6.60372959e-02 -7.71203633e-03]]",10,0.0,False,0.34
[[ 0.01115329  0.16727768  0.1556531   0.6489242  -0.08832211 -0.01306971]],-1,0.0,False,0.36
[[ 0.02386902  0.16611729  0.15534925  0.62265499 -0.02778551 -0.01726167]],-1,0.0,False,0.38
[[ 0.0360596   0.16616518  0.15496315  0.59640315  0.03259007 -0.02137617]],10,0.0,False,0.4
[[ 0.04991316  0.16526791  0.15448466  0.78896182 -0.12237592 -0.02643973]],-1,0.0,False,0.42
[[ 0.06543047  0.16341955  0.15391712  0.76277885 -0.06256783 -0.03023504]],-1,0.0,False,0.44
[[ 0.08042458  0.16276256  0.15327686  0.73663516 -0.00315581 -0.03378979]],-1,0.0,False,0.46
[[ 0.09489589  0.163294    0.15256398  0.71049361  0.05635827 -0.03757681]],10,0.0,False,0.48
[[ 0.1110326   0.16286415  0.1517625   0.9031816  -0.09935007 -0.04259797]],-1,0.0,False,0.5
[[ 0.12883508  0.1614724   0.15086955  0.87707341 -0.03989144 -0.04666586]],-1,0.0,False,0.52
[[ 0.14611571  0.1612675   0.1498955   0.85099053  0.01941812 -0.05078805]],-1,0.0,False,0.54
[[ 0.16287462  0.16225146  0.1488345   0.82489572  0.07907819 -0.05544061]],10,0.0,False,0.56
[[ 0.18129983  0.16228019  0.14766248  1.01762464 -0.07615964 -0.06185064]],-1,0.0,False,0.58
[[ 0.20139131  0.16135849  0.14637008  0.99152839 -0.01603211 -0.06741366]],-1,0.0,False,0.6
[[ 0.22096103  0.16163973  0.14496333  0.96544266  0.04421945 -0.07336742]],10,0.0,False,0.62
[[ 0.2421976   0.160976    0.14341868  1.15822095 -0.11059143 -0.08116128]],-1,0.0,False,0.64
[[ 0.2651016   0.15936754  0.14172933  1.13218722 -0.05031062 -0.08778048]],10,0.0,False,0.66
[[ 0.28967456  0.15680605  0.13989474  1.32513394 -0.2059892  -0.09561737]],-1,0.0,False,0.68
[[ 0.31591869  0.15327637  0.13792085  1.29929783 -0.14715623 -0.10167733]],-1,0.0,False,0.7000000000000001
[[ 0.3416471   0.15091436  0.13582984  1.27355613 -0.08914036 -0.10740835]],10,0.0,False,0.72
[[ 0.36905176  0.14754627  0.13361519  1.46694216 -0.24787225 -0.11396346]],-5,0.0,False,0.74
[[ 0.39733883  0.14393863  0.13128874  1.3617792  -0.11304835 -0.11861249]],-1,0.0,False,0.76
[[ 0.4243201   0.14223382  0.12886784  1.33635694 -0.05747232 -0.12352347]],10,0.0,False,0.78
[[ 0.45298484  0.13947295  0.12633747  1.5301433  -0.21875432 -0.12949133]],-1,0.0,False,0.8
[[ 0.48333543  0.1356418   0.12369965  1.50493733 -0.16453933 -0.13421736]],10,0.0,False,0.8200000000000001
[[ 0.51537549  0.13071498  0.12096498  1.69911411 -0.32845444 -0.13908076]],-5,0.010032923460758764,False,0.84
[[ 0.54831173  0.12545076  0.11815214  1.5945329  -0.19821888 -0.14206272]],-1,0.05078859114845978,False,0.86
[[ 0.57995512  0.12198818  0.11528413  1.56982607 -0.14818714 -0.14470139]],10,0.0005235814880595185,False,0.88
[[ 0.61329935  0.11734109  0.11236229  1.76463866 -0.31679788 -0.1473542 ]],-1,0.06152346579985733,False,0.9
[[ 0.64834839  0.11148044  0.10940026  1.74029905 -0.26957916 -0.14866565]],-1,0.114106914682709,False,0.92
[[ 0.68291256  0.10654671  0.10642179  1.7161466  -0.224043   -0.14905732]],-1,0.15882562631884745,False,0.9400000000000001
[[ 0.7169953   0.10251001  0.1034418   1.69215145 -0.1798132  -0.14887453]],-1,0.1960811917104275,False,0.96
[[ 0.75059946  0.09934792  0.1004684   1.66828362 -0.13652266 -0.1484529 ]],10,0.14560159335235462,False,0.98
[[ 0.78592331  0.09485812  0.09750504  1.86414021 -0.31270974 -0.14777647]],-5,0.2373096072117803,False,1.0
[[ 0.82217194  0.08980926  0.09456257  1.76074846 -0.19242368 -0.1463387 ]],-1,0.27582892353472005,False,1.02
[[ 0.85715285  0.08635792  0.09165503  1.73736294 -0.15286062 -0.14437914]],10,0.2182795725053708,False,1.04
[[ 0.89386426  0.08149837  0.08879132  1.93381947 -0.33337405 -0.14185721]],-5,0.31497179676436066,False,1.06
[[ 0.93151121  0.07599731  0.08598526  1.83090403 -0.21701845 -0.13857609]],-1,0.3558031432644512,False,1.08
[[ 0.96790053  0.07201116  0.08325409  1.80805281 -0.18179119 -0.13445912]],-1,0.39093367400450313,False,1.1
[[ 1.00383421  0.06871882  0.0806094   1.78533591 -0.14759142 -0.12996663]],-1,0.42061676305589607,False,1.12
[[ 1.0393147   0.06610247  0.07805639  1.76272859 -0.11414676 -0.12532951]],-1,0.44503400549837213,False,1.1400000000000001
[[ 1.07434392  0.06414969  0.07559568  1.74020627 -0.08119053 -0.12077289]],10,0.40316062325883795,False,1.16
[[ 1.11112178  0.06065635  0.07322799  1.93760709 -0.26832823 -0.115926  ]],-5,0.4764635972860112,False,1.18
[[ 1.14885166  0.05640078  0.07096005  1.83540519 -0.15745252 -0.11073644]],-1,0.5053729086014543,False,1.2
[[ 1.18533827  0.05355277  0.06880288  1.81327377 -0.12748224 -0.10493434]],-1,0.5296073996509946,False,1.22
[[ 1.22138325  0.05129693  0.0667639   1.79123863 -0.09819656 -0.09894897]],-1,0.549314994692755,False,1.24
[[ 1.25698831  0.04962186  0.06484492  1.76927781 -0.06936822 -0.09296323]],-1,0.5645950103477622,False,1.26
[[ 1.29215472  0.04852064  0.06304417  1.74736955 -0.04077334 -0.0871569 ]],-1,0.5754998032260508,False,1.28
[[ 1.3268833   0.04799085  0.06135626  1.72549216 -0.01218901 -0.08170951]],-1,0.582034169041133,False,1.3
[[ 1.36117446  0.04803451  0.05977218  1.70362388  0.01660907 -0.07680329]],10,0.5643577317585821,False,1.32
[[ 1.39722731  0.04645891  0.05828309  1.90167322 -0.17423649 -0.07210391]],-5,0.605510654965468,False,1.34
[[ 1.43424342  0.04405614  0.05688809  1.79995161 -0.06616414 -0.06732809]],-1,0.6180023688800207,False,1.36
[[ 1.47002544  0.04301039  0.05559137  1.77825665 -0.03844381 -0.06235942]],-1,0.6263981431735254,False,1.3800000000000001
[[ 1.50537388  0.04251781  0.05439248  1.75659101 -0.01081056 -0.05757544]],-1,0.6307105259919227,False,1.4000000000000001
[[ 1.54028913  0.04257885  0.05328593  1.73493354  0.01695447 -0.05315591]],10,0.6107253235137146,False,1.42
[[ 1.57697049  0.04099855  0.05226598  1.93321483 -0.17506738 -0.04880386]],-5,0.6499975991472128,False,1.44
[[ 1.61461947  0.03856733  0.05133563  1.83169711 -0.06819645 -0.04413178]],-1,0.6606998242269079,False,1.46
[[ 1.65103852  0.03746783  0.05050331  1.8102155  -0.04180568 -0.03908293]],-1,0.6675587401454897,False,1.48
[[ 1.6870283   0.03689372  0.04977247  1.78876597 -0.01562198 -0.03401078]],-1,0.6706047707642614,False,1.5
