States,Force,Reward,Terminated,Time
[[ 0.         -0.04431322 -0.16718987  0.          0.          0.        ]],40,0.0,False,0.0
[[ 0.00801414 -0.05222171 -0.16756624  0.80142411 -0.79161557 -0.03652825]],-40,0.1180444826100087,False,0.02
[[ 0.01606863 -0.05994625 -0.16881305  0.00412075  0.01885148 -0.0883401 ]],40,0.0,False,0.04
[[ 0.02416853 -0.06753786 -0.17088938  0.8058666  -0.77863668 -0.11840088]],-40,0.020899922333815123,False,0.06
[[ 0.03232069 -0.07506271 -0.17374614  0.00945326  0.02583705 -0.1674895 ]],40,0.0,False,0.08
[[ 0.04052971 -0.0825638  -0.17735428  0.81143378 -0.77646908 -0.19257833]],10,0.0,False,0.1
[[ 0.05878678 -0.10014101 -0.18149835  1.01433431 -0.98234109 -0.22079955]],-40,0.0,False,0.12
[[ 0.07112936 -0.1118894  -0.18632601  0.22012554 -0.19320404 -0.26205067]],40,0.0,False,0.14
[[ 0.08355401 -0.12387662 -0.19170971  1.02226152 -1.00609012 -0.27542321]],-40,0.0,False,0.16
[[ 0.09607225 -0.13620976 -0.19758163  0.22980207 -0.22808081 -0.31175402]],40,0.0,False,0.18
[[ 0.10868935 -0.1489415  -0.20390899  1.03179113 -1.04552757 -0.32022366]],-40,0.0,False,0.2
[[ 0.12141783 -0.16218756 -0.21062244  0.24134465 -0.28013953 -0.35096598]],40,0.0,False,0.22
[[ 0.13426222 -0.17599667 -0.21769256  1.04292678 -1.1010506  -0.35542593]],-40,0.0,False,0.24
[[ 0.14723629 -0.19049844 -0.22504314  0.25482955 -0.35046831 -0.37926147]],40,0.0,False,0.26
[[ 0.16034359 -0.2057376  -0.23264721  1.05566687 -1.17352803 -0.38070098]],-40,0.0,False,0.28
[[ 0.17359941 -0.22186392 -0.24041539  0.27034177 -0.44083333 -0.3954179 ]],40,0.0,False,0.3
[[ 0.18700585 -0.23891661 -0.24832382  1.06998101 -1.26423523 -0.39524726]],-40,0.0,False,0.32
[[ 0.20057991 -0.25707292 -0.25626266  0.28794902 -0.55365439 -0.39744684]],40,-10.0,True,0.34
