States,Force,Reward,Terminated,Time
[[ 0.         -0.16414439 -0.09866097  0.          0.          0.        ]],1,0,False,0.0
[[ 0.00026163 -0.16484668 -0.09841374  0.0261667  -0.07028233  0.02477858]],1,0,False,0.02
[[ 0.00104694 -0.16695993 -0.09766537  0.05237426 -0.14120227  0.05022582]],1,0,False,0.04
[[ 0.00235714 -0.17050328 -0.09639579  0.07866288 -0.21339785  0.07700983]],1,0,False,0.06
[[ 0.00419426 -0.17550861 -0.09457162  0.10507143 -0.28750715  0.10579643]],1,0,False,0.08
[[ 0.00656105 -0.18202056 -0.09214619  0.13163646 -0.36416606  0.13724475]],1,0,False,0.1
[[ 0.00946098 -0.19009645 -0.08905978  0.15839107 -0.44400333  0.17199888]],-40,0,False,0.12
[[ 0.00475744 -0.19197196 -0.0849189  -0.6287036   0.25592449  0.2428721 ]],1,0,False,0.14
[[-0.00754708 -0.18768419 -0.07966837 -0.60176959  0.17296907  0.28226723]],1,0,False,0.16
[[-0.01931405 -0.18505097 -0.07362216 -0.57494219  0.09034752  0.32257009]],-40,0,False,0.18
[[-0.03869311 -0.17621673 -0.06643675 -1.36317153  0.79421592  0.3950968 ]],-40,0,False,0.2
[[-0.07385514 -0.15319292 -0.05789941 -2.15351901  1.51141422  0.45556382]],1,0,False,0.22
[[-0.11668469 -0.12360691 -0.04853559 -2.12955124  1.44863852  0.48000839]],1,0,False,0.24
[[-0.15904198 -0.09518956 -0.03873179 -2.1063013   1.39453394  0.49954901]],1,0,False,0.26
[[-0.20094181 -0.06776845 -0.02858654 -2.08381175  1.34899559  0.51415318]],1,0,False,0.28
[[-0.24239971 -0.04117349 -0.01819839 -2.06211087  1.31189711  0.52384708]],1,0,False,0.3
[[-0.28343162 -0.01523717 -0.00766503 -2.04121613  1.28311241  0.52868267]],1,0,False,0.32
[[-0.32405379  0.01020567  0.0029169  -2.02113691  1.26253194  0.52871332]],1,0,False,0.34
[[-0.36428256  0.03531824  0.01345173 -2.00187647  1.25007389  0.52397695]],1,0,False,0.36
[[-0.40413429  0.06026244  0.02384429 -1.98343323  1.24569115  0.51448571]],1,0,False,0.38
[[-0.44362529  0.08519964  0.03399935 -1.9658014   1.24937444  0.50022137]],1,0,False,0.4
[[-0.48277169  0.11029136  0.04382102 -1.94897099  1.26115187  0.48113604]],1,0,False,0.42
[[-0.52158938  0.13570006  0.05321219 -1.93292717  1.28108499  0.45715824]],1,0,False,0.44
[[-0.56009388  0.16158969  0.06207419 -1.91764909  1.30926093  0.42820472]],40,0,False,0.46
[[-0.59054727  0.18062542  0.07001727 -1.12810874  0.59702422  0.3635733 ]],1,0,False,0.48
[[-0.61297712  0.19299996  0.0768757  -1.1149425   0.64104018  0.32198543]],1,0,False,0.5
[[-0.63514765  0.20629291  0.08288358 -1.10217796  0.68893724  0.27843264]],40,0,False,0.52
[[-0.64933477  0.21322207  0.08759162 -0.31671192  0.00499073  0.19152259]],1,0,False,0.54
[[-0.65554989  0.21385595  0.09094749 -0.30480548  0.05834621  0.14422842]],1,0,False,0.56
[[-0.66152729  0.21555575  0.09336503 -0.29294451  0.11167692  0.09757491]],1,0,False,0.58
[[-0.66726816  0.21832662  0.09485017 -0.2811565   0.16554685  0.05087347]],1,0,False,0.6
[[-0.67277422  0.22218499  0.09539506 -0.26946844  0.22052137  0.00343643]],1,0,False,0.62
[[-0.67804774  0.22715861  0.09497815 -0.25790618  0.27716601 -0.04542119]],1,0,False,0.64
[[-0.68309147  0.23328652  0.09356421 -0.24649377  0.33604415 -0.09637822]],1,0,False,0.66
[[-0.68790863  0.24061898  0.09110457 -0.23525251  0.39771248 -0.15010088]],40,0,False,0.68
[[-0.68479026  0.242       0.08698579  0.54706018 -0.25914505 -0.26252653]],40,0,False,0.7000000000000001
[[-0.6660204   0.2302233   0.08062495  1.33024256 -0.92047109 -0.3717478 ]],40,0,False,0.72
[[-0.6315615   0.20505763  0.07223636  2.1162701  -1.60025685 -0.46298736]],40,0,False,0.74
[[-0.58134003  0.16601023  0.06230584  2.9067045  -2.31029839 -0.52439844]],40,0,False,0.76
[[-0.51525915  0.11239766  0.05149299  3.70220922 -3.0572106  -0.55140155]],1,0,False,0.78
[[-0.44101628  0.05123772  0.04045861  3.7220932  -3.06084523 -0.55191288]],1,0,False,0.8
[[-0.36637479 -0.01011836  0.02942088  3.74206853 -3.07679457 -0.55178648]],1,0,False,0.8200000000000001
[[-0.29133333 -0.0719137   0.01838721  3.76207315 -3.10467337 -0.55167294]],1,0,False,0.84
[[-0.21589261 -0.1343796   0.00734526  3.78196338 -3.14368661 -0.55288466]],1,0,False,0.86
"[[-1.40056988e-01 -1.97727767e-01 -3.74959373e-03  3.80152246e+00
  -3.19268222e+00 -5.57324267e-01]]",1,-10,True,0.88
