States,Force,Reward,Terminated,Time
[[ 0.          0.14696639 -0.11935614  0.          0.          0.        ]],-1,0,False,0.0
[[-0.00025218  0.14795584 -0.12029408 -0.02522185  0.09900432 -0.09386144]],-1,0,False,0.02
[[-0.00100915  0.15093132 -0.12311601 -0.05048477  0.19872001 -0.1885315 ]],-1,0,False,0.04
[[-0.00227211  0.15591391 -0.12784582 -0.07582734  0.29982374 -0.28476969]],40,0,False,0.06
[[ 0.0041201   0.15519446 -0.13519427  0.71507274 -0.37177539 -0.45036804]],-40,0,False,0.08
[[ 0.01040235  0.15615083 -0.14456233 -0.08683579  0.46734835 -0.48636824]],40,0,False,0.1
[[ 0.01657502  0.15881397 -0.15602411  0.70407234 -0.20036346 -0.66121588]],-1,0,False,0.12
[[ 0.03040367  0.15584897 -0.17030081  0.67881668 -0.09616839 -0.76688834]],40,0,False,0.14
[[ 0.05189488  0.1472329  -0.18743428  1.47048312 -0.76696309 -0.94501857]],40,0,False,0.16
[[ 0.08923446  0.1250584  -0.20797199  2.2638562  -1.45453521 -1.10370574]],40,0,False,0.18
[[ 0.14246691  0.08884266 -0.2313089   3.05986942 -2.17335618 -1.22139287]],0,0,False,0.2
[[ 0.20365243  0.0457206  -0.25623024  3.05879157 -2.14044348 -1.27056665]],0,-10,True,0.22
