States,Force,Reward,Terminated,Time
[[ 0.         -0.08469958 -0.13668072  0.          0.          0.        ]],40,0.0,False,0.0
[[ 0.00802131 -0.09279704 -0.13680645  0.8021055  -0.8102063  -0.01193684]],40,0.0,False,0.02
[[ 0.03208142 -0.11713961 -0.13711473  1.60376502 -1.6250077  -0.01760252]],-5,0.0,False,0.04
[[ 0.06319641 -0.14892298 -0.13749576  1.50792714 -1.55543311 -0.01887039]],-40,0.0,False,0.06
[[ 0.0854443  -0.17258718 -0.13775579  0.71736663 -0.81408889 -0.00445266]],-5,0.0,False,0.08
[[ 0.0988612  -0.18837935 -0.13768697  0.62443753 -0.76632533  0.01240355]],-5,0.0,False,0.1
[[ 0.11042621 -0.20328701 -0.13721744  0.53216945 -0.72558803  0.03559486]],-40,0.0,False,0.12
[[ 0.11321195 -0.21075386 -0.13602048 -0.2534057  -0.02239704  0.08546059]],0,0.0,False,0.14
[[ 0.108223   -0.2118324  -0.13402579 -0.24548522 -0.08558632  0.11419314]],-10,0.0,False,0.16
[[ 0.10141027 -0.21227796 -0.1313786  -0.43578474  0.0408953   0.15076134]],-5,0.0,False,0.18
[[ 0.09178263 -0.21115114 -0.12802204 -0.526989    0.07176444  0.18504107]],-40,0.0,False,0.2
[[ 0.07338847 -0.20272954 -0.12374203 -1.31264267  0.77157841  0.2420086 ]],-5,0.0,False,0.22
[[ 0.04621272 -0.18692524 -0.11860569 -1.40504454  0.80988285  0.27088771]],-5,0.0,False,0.24
[[ 0.01718206 -0.17029218 -0.11293631 -1.49814044  0.85449518  0.29529613]],-5,0.0,False,0.26
[[-0.01371777 -0.15270158 -0.10682443 -1.59196798  0.905688    0.3151137 ]],-5,0.0,False,0.28
[[-0.04650179 -0.13401865 -0.10036351 -1.68656581  0.96378447  0.33016696]],-5,0.0,False,0.3
[[-0.08118579 -0.11410173 -0.09365095 -1.7819724   1.02915246  0.34023916]],-5,0.0,False,0.32
[[-0.11778632 -0.09280141 -0.08678877 -1.87822431  1.10219502  0.34508607]],0,0.0,False,0.34
[[-0.15532178 -0.07095565 -0.07988366 -1.87544099  1.08363406  0.34457628]],0,0.0,False,0.36
[[-0.19280879 -0.04940621 -0.07303951 -1.87338166  1.07255348  0.33899449]],10,0.0,False,0.38
