States,Force,Reward,Terminated,Time
[[ 0.         -0.05918018  0.16578095  0.          0.          0.        ]],-40,0.0,False,0.0
[[-0.00797347 -0.05182941  0.16679773 -0.7974306   0.73622165  0.10009042]],-10,0.0,False,0.02
[[-0.02590487 -0.03559861  0.1695836  -0.9958183   0.88813718  0.17721284]],40,0.17549372033055893,False,0.04
[[-0.03781155 -0.02620893  0.17375482 -0.19487735  0.05052751  0.24113889]],-40,0.0,False,0.06
[[-0.04969902 -0.01765626  0.17939087 -0.99394058  0.80583852  0.3210128 ]],-40,0.0,False,0.08
[[-0.07757387  0.0061087   0.18647935 -1.79368605  1.57366497  0.38361237]],-40,0.0,False,0.1
[[-0.12145113  0.04543735  0.19452596 -2.59408588  2.36330926  0.41512016]],-40,0.0,False,0.12
[[-0.18133265  0.10080278  0.2028471  -3.39371128  3.17676202  0.41170534]],5,0.0,False,0.14
[[-0.24820856  0.16358208  0.21109126 -3.29395771  3.10331052  0.4128938 ]],40,0.0,False,0.16
[[-0.30615109  0.21815271  0.21944865 -2.50140237  2.35894158  0.42085792]],40,0.0,False,0.18
[[-0.34830874  0.25815657  0.22780416 -1.71540396  1.64671497  0.41117785]],5,-10.0,True,0.2
