States,Force,Reward,Terminated,Time
[[0.         0.07592564 0.1524187  0.         0.         0.        ]],1,0.1261055783164066,False,0.0
[[ 0.00017031  0.07575526  0.15271823  0.01703222 -0.01705908  0.0299826 ]],1,0.12099104429362238,False,0.02
[[ 0.00068138  0.07524156  0.1536204   0.03407865 -0.03437594  0.06032395]],1,0.11224834481200946,False,0.04
[[ 0.00153365  0.07437677  0.155136    0.05115371 -0.05221107  0.09138641]],1,0.09953943596141561,False,0.06
[[ 0.00272782  0.07314788  0.15728313  0.06827228 -0.07083037  0.12353945]],-40,0.0,False,0.08
[[-0.00392651  0.07976231  0.15997873 -0.73369355  0.73271187  0.14541492]],1,0.0,False,0.1
[[-0.01843165  0.09427368  0.16316935 -0.71691187  0.71933218  0.17296405]],1,0.0,False,0.12
[[-0.03260657  0.10857126  0.16687073 -0.70066915  0.71130544  0.19652536]],1,0.0,False,0.14
[[-0.04646194  0.12276067  0.17100504 -0.68495507  0.70849732  0.21628484]],1,0.0,False,0.16
[[-0.06000824  0.13694533  0.17549772 -0.66976141  0.71081777  0.23238084]],1,0.0,False,0.18
[[-0.07325582  0.15122727  0.18027645 -0.65508191  0.7182222   0.24490181]],1,0.0,False,0.2
[[-0.08621492  0.1657081   0.18527022 -0.64091207  0.73071172  0.25388532]],1,0.0,False,0.22
[[-0.09889568  0.18048994  0.19040821 -0.62724875  0.74833287  0.25931815]],1,0.0,False,0.24
[[-0.11130823  0.19567623  0.19561886 -0.61408968  0.77117668  0.2611372 ]],1,0.0,False,0.26
[[-0.12346262  0.2113727   0.20082887 -0.60143277  0.79937702  0.25923166]],10,0.0,False,0.28
[[-0.133586    0.22595146  0.20595207 -0.41105327  0.65957191  0.25235958]],10,0.0,False,0.3
[[-0.13991016  0.23779425  0.21089752 -0.22148584  0.52556745  0.24162801]],10,0.0,False,0.32
[[-0.14244982  0.24700428  0.21559841 -0.03257664  0.39608103  0.22808101]],10,0.0,False,0.34
[[-0.14121658  0.25365905  0.2200091   0.15582957  0.26982867  0.21278583]],40,0.0,False,0.36
[[-0.13029363  0.25212036  0.2240115   0.93650833 -0.42420463  0.1881897 ]],1,0.0,False,0.38
[[-0.11145673  0.24406248  0.22768418  0.94722204 -0.38224495  0.17980998]],1,0.0,False,0.4
[[-0.09240321  0.23680516  0.2312321   0.9581668  -0.34409779  0.17566367]],1,0.0,False,0.42
[[-0.07312861  0.23027514  0.23473709  0.96932796 -0.30946777  0.17547485]],-40,0.0,False,0.44
[[-0.06174561  0.23232536  0.23824759  0.16900975  0.51445928  0.17556725]],40,0.0,False,0.46
[[-0.05053757  0.23543905  0.24179496  0.95170618 -0.20284347  0.17923489]],-40,0.0,False,0.48
[[-0.03950482  0.23962028  0.2453801   0.15164903  0.62090306  0.17925625]],40,0.0,False,0.5
[[-0.02865174  0.24490348  0.24899521  0.93350605 -0.09200508  0.18206189]],1,0.0,False,0.52
[[-0.00987475  0.24342308  0.25265901  0.94420055 -0.05625488  0.18464902]],-40,0.0,False,0.54
[[0.00101179 0.25053304 0.25635105 0.1445968  0.76712525 0.18451659]],40,0.0,False,0.56
[[0.01171244 0.25880043 0.26006494 0.92522199 0.06066594 0.18631016]],1,-10.0,True,0.58
