States,Force,Reward,Terminated,Time
[[ 0.          0.01229075 -0.13153201  0.          0.          0.        ]],40,0.0,False,0.0
[[ 0.00799561  0.00459726 -0.13209784  0.79961611 -0.7702879  -0.05531574]],40,0.0,False,0.02
[[ 0.03198843 -0.01859244 -0.13364818  1.59977887 -1.55120198 -0.09633789]],40,0.0,False,0.04
[[ 0.07198993 -0.05756878 -0.1357944   2.40036981 -2.34952272 -0.11422855]],-40,0.0,False,0.06
[[ 0.1120214  -0.09664127 -0.13828754  1.60324823 -1.56004721 -0.13472946]],1,0.0,False,0.08
[[ 0.14431688 -0.12823533 -0.14107389  1.62643356 -1.60120322 -0.14250677]],-40,0.0,False,0.1
[[ 0.16891869 -0.15266593 -0.14394586  0.83422649 -0.84454669 -0.14274652]],-40,0.0,False,0.12
[[ 0.17770004 -0.16209558 -0.14672528  0.04411541 -0.09951122 -0.13441587]],40,0.0,False,0.14
[[ 0.18660154 -0.17232739 -0.14939434  0.84591323 -0.92364359 -0.13250904]],-40,0.0,False,0.16
[[ 0.19563339 -0.18347046 -0.15187029  0.05753372 -0.19212071 -0.11392351]],40,0.0,False,0.18
[[ 0.20479854 -0.19556494 -0.15412274  0.85880907 -1.01712056 -0.11156692]],-40,0.0,False,0.2
[[ 0.21410899 -0.20874782 -0.15604251  0.07256783 -0.3031172  -0.0786965 ]],-40,0.0,False,0.22
[[ 0.20770749 -0.20772469 -0.1572412  -0.71274401  0.40566318 -0.04146871]],40,0.0,False,0.24
[[ 0.20146354 -0.20786742 -0.15804452  0.08834737 -0.41992924 -0.03887404]],-40,0.0,False,0.26
[[ 0.19537733 -0.20917313 -0.15846032 -0.6969345   0.28917185 -0.00255571]],40,0.0,False,0.28
"[[ 1.89449087e-01 -2.11645420e-01 -1.58486172e-01  1.04069701e-01
  -5.36329532e-01 -1.13600442e-04]]",-40,0.0,False,0.3
[[ 0.18368129 -0.21531577 -0.15809368 -0.6807533   0.16867272  0.03998231]],-40,0.0,False,0.32
[[ 0.16221542 -0.20487837 -0.15690417 -1.46610356  0.87667593  0.077513  ]],40,0.0,False,0.34
[[ 0.14090316 -0.19559559 -0.15533245 -0.66498063  0.05138547  0.07991836]],-40,0.0,False,0.36
[[ 0.11973521 -0.18735962 -0.15346576 -1.45201683  0.77334982  0.10581385]],40,0.0,False,0.38
[[ 0.09870972 -0.18014335 -0.15132456 -0.65043491 -0.05181711  0.10841497]],-40,0.0,False,0.4
[[ 0.07781937 -0.17386938 -0.14896577 -1.43874734  0.67998296  0.12691215]],1,0.0,False,0.42
[[ 0.04930515 -0.16089591 -0.14635073 -1.4127384   0.61813773  0.13398509]],1,0.0,False,0.44
[[ 0.02130737 -0.1491143  -0.14362938 -1.38709972  0.56072656  0.13760507]],1,0.0,False,0.46
[[-0.00618118 -0.13844002 -0.14086713 -1.36181155  0.50734029  0.13813422]],1,0.0,False,0.48
[[-0.03316728 -0.12879646 -0.13812233 -1.3368516   0.45759008  0.13591367]],1,0.0,False,0.5
[[-0.05965727 -0.12011463 -0.13544679 -1.31219606  0.41110979  0.13125943]],1,0.0,False,0.52
[[-0.08565699 -0.11233257 -0.13288624 -1.2878203   0.36755668  0.12446066]],1,0.0,False,0.54
[[-0.11117178 -0.10539499 -0.1304809  -1.26369939  0.32661105  0.11577945]],1,0.03689248245583229,False,0.56
[[-0.1362065  -0.09925274 -0.12826603 -1.23980846  0.28797526  0.10545179]],1,0.0871812761703126,False,0.58
[[-0.16076549 -0.09386244 -0.12627239 -1.21612288  0.25137219  0.09368906]],1,0.13027684334834938,False,0.6
